temperature,precipitation,humidity,WindSpeed,DaylightHours,pressure,weather
21.6,0,61,1.7,1,1013.7,2
23.2,0,59,1.6,1,1012.7,2
26.1,0,50,2.2,1,1011.4,2
27.4,0,29,2.1,1,1010.2,2
28.6,0,40,3,1,1009.3,2
28.7,0,39,4.4,1,1008.6,2
26.6,0,41,5,0.7,1009.2,4
26.7,0,43,4.4,0.9,1008.7,2
25.1,0,49,4,0.9,1009.6,2
23.4,0,56,3.2,0.3,1010.2,2
22,0,66,2.9,0,1010.9,2
21.1,0,71,2.7,0,1011.3,2
20.1,0,74,2.4,0,1011.2,2
19.2,0,76,1.9,0,1011.2,2
18,0,82,0.5,0,1011,2
16.8,0,88,1.2,0,1010.8,2
16,0,91,0.8,0,1010.6,2
15.1,0,92,1.2,0,1010.9,2
14.9,0,91,1.6,0,1011.1,2
14.5,0,92,1,0.1,1011.4,2
16.5,0,84,1,1,1011.4,2
18.2,0,79,1.5,1,1011.4,2
19.9,0,70,0.9,1,1010.8,2
22.6,0,60,2.1,1,1009.4,2
25.1,0,51,4.4,1,1008.3,2
25.8,0,44,5.9,1,1007.3,2
25.9,0,44,6.1,1,1007,2
26.8,0,41,5.6,1,1006.2,2
25.9,0,41,4.9,1,1006.3,2
26.2,0,45,3.6,0.9,1006,2
25.4,0,45,4.3,0.5,1005.9,4
24.3,0,49,4.4,0,1006,4
23.3,0,51,3,0,1006.9,4
22.5,0,56,3,0,1007,4
21.6,0,63,3.2,0,1007,4
21.2,0,65,3.3,0,1007.4,4
20.7,0,67,2.6,0,1007,4
20.5,0,66,2.5,0,1006.4,4
19.7,0,72,3.2,0,1006,10
18.9,0,77,2.7,0,1005.8,10
18.8,0.5,77,3.6,0,1004.9,10
18.2,0,85,0.9,0,1004.2,4
18.1,0,86,1.3,0,1003.4,4
18.3,0,83,0.8,0,1002.5,4
19.7,0,72,2.4,0,1001.6,4
20.6,0,66,4.2,0,1001.5,4
20.6,0,67,4.4,0,1000.4,4
19.5,0,79,3.3,0,999.6,10
18,5.5,96,3,0,1000.7,10
15.4,15.5,89,5.4,0,1002.5,10
15.9,5,87,2,0,1001.4,10
16.7,1,86,2.6,0,1000.2,10
18.7,0.5,74,2.6,0.5,999.5,4
19.7,0,74,2.3,1,999.2,2
20.6,0,66,2.2,1,998.5,2
21.1,0,69,1.3,1,998.4,2
19.8,0,73,1.2,0.5,999,2
19.7,0,75,0.9,0.3,999.4,4
18.6,0,85,1.5,0,999.7,4
17.7,0,91,1.6,0,999.8,4
17.7,0,91,1.5,0,999.8,4
16.8,0,94,1.7,0,1000.2,4
